cik,ticker,company_name,company_name_normalized
1941536,BAER,"Bridger Aerospace Group Holdings, Inc.",bridger aerospace group holdings
1941536,BAERW,"Bridger Aerospace Group Holdings, Inc.",bridger aerospace group holdings
1943289,SVCO,"Silvaco Group, Inc.",silvaco group
1943421,RUBI,Rubico Inc.,rubico
1943444,TRSG,Tungray Technologies Inc,tungray technologies
1943802,FSEA,"First Seacoast Bancorp, Inc.",first seacoast bancorp
1943896,RBRK,"Rubrik, Inc.",rubrik
1944013,CR,Crane Co,crane
1944048,KVUE,Kenvue Inc.,kenvue
1944399,PDC,Perpetuals.com Ltd,perpetuals.com
1944552,ANL,Adlai Nortye Ltd.,adlai nortye
1944558,VTS,"Vitesse Energy, Inc.",vitesse energy
1944712,BIYA,Baiya International Group Inc.,baiya international group
1944885,APLM,Apollomics Inc.,apollomics
1944885,APLMW,Apollomics Inc.,apollomics
1944902,OMH,Ohmyhome Ltd,ohmyhome
1944955,GSKRF,FIRST NORDIC METALS CORP.,first nordic metals
1945166,MECPF,MUSTANG ENERGY CORP.,mustang energy
1945240,ROMA,Roma Green Finance Ltd,roma green finance
1945415,HUHU,HUHUTECH International Group Inc.,huhutech international group
1945565,BGIN,BGIN BLOCKCHAIN Ltd,bgin blockchain
1945619,KSEZ,Kinetic Seas Inc.,kinetic seas
1946021,HSPUF,Horizon Space Acquisition I Corp.,horizon space acquisition i
1946021,HSPWF,Horizon Space Acquisition I Corp.,horizon space acquisition i
1946021,HSPOF,Horizon Space Acquisition I Corp.,horizon space acquisition i
1946563,SXTPW,"60 DEGREES PHARMACEUTICALS, INC.",60 degrees pharmaceuticals
1946563,SXTP,"60 DEGREES PHARMACEUTICALS, INC.",60 degrees pharmaceuticals
1946573,NAKA,Nakamoto Inc.,nakamoto
1946573,NAKAW,Nakamoto Inc.,nakamoto
1946703,WBUY,WEBUY GLOBAL LTD,webuy global
1946746,LTESF,Leet INC.,leet
1947016,FJET,"Starfighters Space, Inc.",starfighters space
1947210,ROLR,"High Roller Technologies, Inc.",high roller technologies
1947244,USGO,U.S. GoldMining Inc.,u.s. goldmining
1947861,NMHI,Nature's Miracle Holding Inc.,nature's miracle holding
1947861,NMHIW,Nature's Miracle Holding Inc.,nature's miracle holding
1948099,MTEN,Mingteng International Corp Inc.,mingteng international
1948294,NWGL,CL Workshop Group Ltd,cl workshop group
1948436,JL,J-Long Group Ltd,j-long group
1948443,RAY,Raytech Holding Ltd,raytech holding
