org_name,breach_date,cik,resolved_cik,resolution_source,resolution_category
Gray Television,2016-08-08,879585,43196.0,SEC name: GRAY COMMUNICATIONS SYSTEMS INC /GA/,CIK_CORRECTED
Gray Television Inc,2016-08-10,879585,43196.0,SEC name: GRAY COMMUNICATIONS SYSTEMS INC /GA/,CIK_CORRECTED
"Gray Television, Inc.",2021-09-01,879585,43196.0,SEC name: GRAY COMMUNICATIONS SYSTEMS INC /GA/,CIK_CORRECTED
"Gray Television, Inc.",2016-02-16,879585,43196.0,SEC name: GRAY COMMUNICATIONS SYSTEMS INC /GA/,CIK_CORRECTED
"Gray Television, Inc.",2016-08-12,879585,43196.0,SEC name: GRAY COMMUNICATIONS SYSTEMS INC /GA/,CIK_CORRECTED
"Gray, Inc.",2018-04-01,879585,,,LOST_RESOLUTION
"Harrison, Mauro & Morgan, P.A.",2022-02-01,19617,,,LOST_RESOLUTION
"HBP, Inc.",2023-05-14,47217,1168812.0,SEC name: HBP INC,CIK_CORRECTED
"Healthcare Fiscal Management, Inc.",2020-04-12,1932393,,,LOST_RESOLUTION
"Healthcare Fiscal Management, Inc.",2020-04-13,1932393,,,LOST_RESOLUTION
"Henry Schein, Inc.",2023-09-27,1000228,1000228.0,SEC name: HENRY SCHEIN INC,CIK_UNCHANGED
"Herbalife International of America, Inc.",2022-02-01,70858,1205274.0,SEC name: HERBALIFE INTERNATIONAL OF AMERICA INC,CIK_CORRECTED
Hershey Entertainment & Resorts Company,2015-02-01,47111,,,LOST_RESOLUTION
Hewlett Packard Company,2007-08-16,1645590,47217.0,SEC name: HEWLETT PACKARD CO,CIK_CORRECTED
Hewlett Packard Enterprise Company,2023-12-12,1645590,1645590.0,SEC name: HEWLETT PACKARD ENTERPRISE CO,CIK_UNCHANGED
Hewlett Packard Enterprise Company,2025-02-05,1645590,1645590.0,SEC name: HEWLETT PACKARD ENTERPRISE CO,CIK_UNCHANGED
Hewlett-Packard Company,2010-02-09,1645590,47217.0,SEC name: HEWLETT PACKARD CO,CIK_CORRECTED
Hewlett-Packard Company,2007-07-01,1645590,47217.0,SEC name: HEWLETT PACKARD CO,CIK_CORRECTED
Hewlett-Packard Company,2008-12-08,1645590,47217.0,SEC name: HEWLETT PACKARD CO,CIK_CORRECTED
