cik,org_name,breach_date,actual_car,synthetic_car,treatment_effect,n_donors,max_weight,hhi_weights
732712,Verizon,2019-06-03,-1.6664,0.02241111100405066,-1.6888111110040507,523,0.012146616338819064,0.002872905090123507
732712,Verizon,2014-02-26,3.4982,-0.2112461736155105,3.7094461736155107,523,0.0352159559274876,0.003991851050836811
732712,Verizon,2008-06-27,3.7943,-0.14289805128478633,3.937198051284786,523,0.0072062454930911105,0.00245447623876892
732712,Verizon,2019-04-24,3.851,0.02241111100405066,3.828588888995949,523,0.012146616338819064,0.002872905090123507
732712,Verizon Communications,2023-09-21,11.8399,-0.24325070322728304,12.083150703227282,523,0.01540401961479604,0.003098951482901062
732712,Verizon Communications Inc,2023-09-21,11.8399,-0.24325070322728304,12.083150703227282,523,0.01540401961479604,0.003098951482901062
732712,Verizon Communications Inc.,2023-09-21,11.8399,-0.24325070322728304,12.083150703227282,523,0.01540401961479604,0.003098951482901062
732712,Verizon Communications Inc.,2024-02-09,-2.1243,-0.30245751562284207,-1.8218424843771577,523,0.0079059984929877,0.0024865323212652796
732712,Verizon Communications Inc.,2024-02-06,-8.9702,-0.30245751562284207,-8.667742484377158,523,0.0079059984929877,0.0024865323212652796
732712,Verizon Corporate Services Group Inc.,2014-01-20,-4.4631,-0.2112461736155105,-4.251853826384489,523,0.0352159559274876,0.003991851050836811
