final_cik,breach_date,org_name,candidate_rank,candidate_cik,n_8k_in_window,status,win_lo,win_hi,predecessor_term,predecessor_name,resolution
858877,2012-04-13,"Cisco Systems, Inc.",final_cik,858877.0,38.0,ok,2010-04-14,2012-10-10,,,
860731,2020-09-21,"Tyler Technologies, Inc.",final_cik,860731.0,23.0,ok,2018-09-22,2021-07-17,,,
872589,2010-06-18,"Regeneron Pharmaceuticals, Inc.",final_cik,872589.0,28.0,ok,2008-06-18,2011-01-22,,,
877890,2013-04-26,Citrix Systems Inc.,final_cik,877890.0,19.0,ok,2011-04-27,2013-12-15,,,
877890,2016-11-15,Citrix Systems,final_cik,877890.0,34.0,ok,2014-11-16,2017-06-04,,,
877890,2018-10-13,"Citrix Systems, Inc.",final_cik,877890.0,36.0,ok,2016-10-13,2019-10-26,,,
892553,2009-07-23,"Chart Industries, Inc.",final_cik,892553.0,38.0,ok,2007-07-24,2010-02-06,,,
896878,2008-05-26,"Intuit, Inc.",final_cik,896878.0,43.0,ok,2006-05-27,2009-03-04,,,
896878,2008-09-24,Intuit,final_cik,896878.0,38.0,ok,2006-09-25,2009-03-23,,,
896878,2014-02-01,"Intuit, Inc.",final_cik,896878.0,32.0,ok,2012-02-02,2015-10-04,,,
896878,2014-04-01,Intuit Inc.,final_cik,896878.0,29.0,ok,2012-04-01,2015-08-14,,,
896878,2014-04-18,Intuit Inc.,final_cik,896878.0,29.0,ok,2012-04-18,2015-08-14,,,
896878,2015-04-07,Intuit,final_cik,896878.0,22.0,ok,2013-04-07,2015-10-04,,,
896878,2015-04-14,Intuit,final_cik,896878.0,22.0,ok,2013-04-14,2015-10-11,,,
896878,2015-05-20,Intuit,final_cik,896878.0,23.0,ok,2013-05-20,2015-11-16,,,
896878,2015-09-18,Intuit Inc,final_cik,896878.0,20.0,ok,2013-09-18,2016-04-24,,,
896878,2015-10-12,Intuit Inc,final_cik,896878.0,21.0,ok,2013-10-12,2016-05-15,,,
896878,2015-12-01,Intuit,final_cik,896878.0,21.0,ok,2013-12-01,2016-06-20,,,
896878,2015-12-07,Intuit Inc.,final_cik,896878.0,21.0,ok,2013-12-07,2016-06-04,,,
896878,2015-12-31,"Intuit, Inc.",final_cik,896878.0,21.0,ok,2013-12-31,2016-07-13,,,
896878,2016-01-21,Intuit Inc.,final_cik,896878.0,21.0,ok,2014-01-21,2016-08-07,,,
896878,2016-02-04,Intuit,final_cik,896878.0,22.0,ok,2014-02-04,2016-08-29,,,
896878,2016-02-24,Intuit,final_cik,896878.0,20.0,ok,2014-02-24,2016-09-10,,,
896878,2016-02-29,Intuit Inc,final_cik,896878.0,20.0,ok,2014-03-01,2016-09-12,,,
896878,2016-03-07,"Intuit, Inc.",final_cik,896878.0,20.0,ok,2014-03-08,2016-09-28,,,
896878,2016-03-17,Intuit,final_cik,896878.0,20.0,ok,2014-03-18,2016-09-13,,,
896878,2016-03-22,Intuit Inc.,final_cik,896878.0,20.0,ok,2014-03-23,2016-10-25,,,
896878,2016-03-29,Intuit Inc,final_cik,896878.0,24.0,ok,2014-03-30,2017-04-15,,,
896878,2016-04-06,Intuit,final_cik,896878.0,20.0,ok,2014-04-07,2016-11-05,,,
896878,2016-04-14,Intuit Inc.,final_cik,896878.0,20.0,ok,2014-04-15,2016-10-11,,,
