final_cik,breach_date,org_name,treated,orig_cik,link_basis,outcome_cik,outcome_rule,n_8k_final,n_8k_orig,n_8k_pred,predecessor_cik,predecessor_name,predecessor_term,predecessor_resolution,differs_from_final,win_lo,win_hi,unresolved_reason
896878,2015-12-01,Intuit,0,896878,direct,896878.0,final_cik,21,,,,,,,0,2013-12-01,2016-06-20,
896878,2015-12-07,Intuit Inc.,0,896878,direct,896878.0,final_cik,21,,,,,,,0,2013-12-07,2016-06-04,
896878,2015-12-31,"Intuit, Inc.",0,896878,direct,896878.0,final_cik,21,,,,,,,0,2013-12-31,2016-07-13,
896878,2016-01-21,Intuit Inc.,0,896878,direct,896878.0,final_cik,21,,,,,,,0,2014-01-21,2016-08-07,
896878,2016-02-04,Intuit,0,896878,direct,896878.0,final_cik,22,,,,,,,0,2014-02-04,2016-08-29,
896878,2016-02-24,Intuit,0,896878,direct,896878.0,final_cik,20,,,,,,,0,2014-02-24,2016-09-10,
896878,2016-02-29,Intuit Inc,0,896878,direct,896878.0,final_cik,20,,,,,,,0,2014-03-01,2016-09-12,
896878,2016-03-07,"Intuit, Inc.",0,896878,direct,896878.0,final_cik,20,,,,,,,0,2014-03-08,2016-09-28,
896878,2016-03-17,Intuit,0,896878,direct,896878.0,final_cik,20,,,,,,,0,2014-03-18,2016-09-13,
896878,2016-03-22,Intuit Inc.,0,896878,direct,896878.0,final_cik,20,,,,,,,0,2014-03-23,2016-10-25,
896878,2016-03-29,Intuit Inc,0,896878,direct,896878.0,final_cik,24,,,,,,,0,2014-03-30,2017-04-15,
896878,2016-04-06,Intuit,0,896878,direct,896878.0,final_cik,20,,,,,,,0,2014-04-07,2016-11-05,
896878,2016-04-14,Intuit Inc.,0,896878,direct,896878.0,final_cik,20,,,,,,,0,2014-04-15,2016-10-11,
896878,2016-04-29,Intuit,0,896878,direct,896878.0,final_cik,20,,,,,,,0,2014-04-30,2016-10-26,
896878,2016-05-17,Intuit,0,896878,direct,896878.0,final_cik,21,,,,,,,0,2014-05-18,2016-12-07,
896878,2016-05-27,Intuit,0,896878,direct,896878.0,final_cik,20,,,,,,,0,2014-05-28,2016-11-23,
896878,2016-06-01,"Intuit, Inc.",0,896878,direct,896878.0,final_cik,20,,,,,,,0,2014-06-02,2017-01-07,
896878,2016-06-09,Intuit Inc,0,896878,direct,896878.0,final_cik,20,,,,,,,0,2014-06-10,2016-12-18,
896878,2016-08-03,Intuit Inc.,0,896878,direct,896878.0,final_cik,21,,,,,,,0,2014-08-04,2017-02-15,
896878,2016-08-22,Intuit Inc.,0,896878,direct,896878.0,final_cik,21,,,,,,,0,2014-08-23,2017-03-14,
896878,2016-09-12,Intuit Inc,0,896878,direct,896878.0,final_cik,21,,,,,,,0,2014-09-13,2017-03-22,
896878,2016-09-26,Intuit Inc.,0,896878,direct,896878.0,final_cik,21,,,,,,,0,2014-09-27,2017-03-25,
896878,2016-10-18,Intuit,0,896878,direct,896878.0,final_cik,21,,,,,,,0,2014-10-19,2017-04-16,
896878,2016-10-23,Intuit Inc.,0,896878,direct,896878.0,final_cik,22,,,,,,,0,2014-10-24,2017-05-17,
896878,2016-10-30,Intuit Inc,0,896878,direct,896878.0,final_cik,22,,,,,,,0,2014-10-31,2017-05-09,
896878,2016-11-22,Intuit Inc,0,896878,direct,896878.0,final_cik,21,,,,,,,0,2014-11-23,2017-06-10,
896878,2016-12-05,"Intuit, Inc.",0,896878,direct,896878.0,final_cik,21,,,,,,,0,2014-12-06,2017-06-03,
896878,2016-12-13,"Intuit, Inc.",0,896878,direct,896878.0,final_cik,21,,,,,,,0,2014-12-14,2017-06-11,
