accession,cik,filing_date,form,items,text_ok,section_found,section_chars,ref_dates,labels,exec_departure,ceo_departure,director_departure,appointment,election,compensation,notice_date,effective_date,previously_phrase,flag_retirement,flag_health,flag_transaction,flag_termination,flag_severance_release,flag_no_disagreement,action
0001193125-22-066230,73309,2022-03-04,8-K/A,"5.02,9.01",1,1,3751,2014-10-01;2022-03-04;2022-03-06,,0,0,0,1,0,1,,,0,0,0,0,0,0,0,appointment
0001193125-22-159808,73309,2022-05-25,8-K/A,"5.02,9.01",1,1,3069,2020-02-17;2022-05-24;2022-06-11,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-22-215713,73309,2022-08-09,8-K,"5.02,9.01",1,1,1355,,d,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001193125-23-206313,73309,2023-08-08,8-K,"5.02,9.01",1,1,1370,,d,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001193125-23-296305,73309,2023-12-15,8-K,"5.02,9.01",1,1,2295,,e,0,0,0,1,0,1,,,0,0,0,0,0,0,0,appointment
0001193125-16-570149,75362,2016-04-29,8-K,"5.02,5.03,5.07,9.01",1,1,943,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-16-789834,75362,2016-12-12,8-K,"5.02,8.01",1,1,412,,,1,0,0,1,0,0,,,0,1,0,0,0,0,0,departure
0001193125-17-148456,75362,2017-04-28,8-K,"5.02,5.07",1,1,798,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-17-369333,75362,2017-12-14,8-K,"5.02,9.01",1,1,714,2017-12-14,c,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-18-048187,75362,2018-02-16,8-K,"5.02,9.01",1,1,837,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001193125-18-152947,75362,2018-05-04,8-K,"5.02,5.03,5.07,9.01",1,1,2857,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000076334-20-000124,76334,2020-11-02,8-K,"5.02,5.07",1,1,4675,2020-10-27;2020-12-31;2021-01-01,,1,0,0,1,0,1,2020-10-27,2020-12-31,0,1,0,0,0,0,0,departure
0000076334-21-000006,76334,2021-01-11,8-K,5.02,1,1,378,2021-01-10,,0,0,1,0,0,0,2021-01-10,immediately,0,1,0,0,0,0,0,departure
