accession,sub_row,person,title,role_class,action,verb,sentence
0001447669-22-000094,5,Marc D. Boroditsky,Chief Revenue Officer,other_exec,departure,resign,"On April 28, 2022, Marc D. Boroditsky notified the Company of his intention to resign from his position as the Chief Revenue Officer of the Company effective immediately."
0001447669-22-000141,1,Miyuki Suzuki,director,director,election,elect,"Appointment of New Director On August 4, 2022, the Board of Directors (the “Board”) of Twilio appointed Miyuki Suzuki to the Board as a Class III director."
0001447669-22-000141,2,Miyuki Suzuki,director,director,election,elect,There is no arrangement or understanding between Ms. Suzuki and any other persons pursuant to which Ms. Suzuki was appointed as a director.
0001447669-22-000212,1,Miyuki Suzuki,director,director,election,elect,"On August 4, 2022, the Board of Directors (the “Board”) of Twilio Inc. (“Twilio”) appointed Miyuki Suzuki to the Board as a Class III director."
0001447669-22-000212,2,Miyuki Suzuki,director,director,election,elect,"This Current Report on Form 8-K/A amends the Initial Form 8-K to disclose that on December 8, 2022, the Board appointed Ms. Suzuki to serve on the Compensation and Talent Management Committee of the Board (the “Compensation Committee”), effective December 8, 2022."
0001193125-23-034646,1,Twilio Data,President of Twilio Data & Applications and President,president,appointment,Appointment,"Appointment of President of Twilio Data & Applications and President of Twilio Communications On February 10, 2023, in connection with the Reorganization (as defined below), the Company’s board of directors (the “ Board ”) appointed Elena Donio as President, Twilio Data & Applications, effective March 1, 2023."
0001193125-23-034646,2,Elena Donio,President,president,departure,cease serving,"When her appointment as President, Twilio Data & Analytics takes effect, Ms. Donio will cease serving as President of Revenue."
0001193125-23-034646,3,Khozema Shipchandler,Board appointed Khozema Shipchandler as President,president,appointment,appointed,"On February 10, 2023, in connection with the Reorganization (as defined below), the Board appointed Khozema Shipchandler as President, Twilio Communications, effective March 1, 2023."
0001193125-23-034646,4,Khozema Shipchandler,"Chief Operating Officer, principal financial and accounting officer",COO,departure,cease serving,"When his appointment as President, Twilio Communications takes effect, Mr. Shipchandler will cease serving as Chief Operating Officer, principal financial and accounting officer."
0001193125-23-034646,5,Aidan Viggiano,"Chief Financial Officer On February 10, 2023, the Board",CFO,appointment,Appointment,"Appointment of Chief Financial Officer On February 10, 2023, the Board appointed Aidan Viggiano, 43, as the Company’s Chief Financial Officer, effective March 1, 2023."
0001193125-23-034646,6,Aidan Viggiano,Chief Financial Officer,CFO,appointment,appointment,"In connection with and subject to Ms. Viggiano’s appointment as Chief Financial Officer, the Compensation and Talent Management Committee approved the terms of an offer letter (the “ CFO Offer Letter ”), which the Company entered into with Ms. Viggiano on February 10, 2023, setting forth the terms of her employment and compensation."
0001193125-23-034646,7,Aidan Viggiano,Chief Financial Officer,CFO,appointment,appointment,"Further, upon the effective date of her appointment as Chief Financial Officer, Ms. Viggiano will be eligible to receive an award of restricted stock units (the “ RSU Award ”) with an aggregate value of approximately $3,000,000."
0001193125-23-034646,8,Aidan Viggiano,Chief Financial Officer,CFO,appointment,appointment,"Ms. Viggiano will also enter into the Company’s standard form of indemnification agreement on or prior to the effective date of her appointment as Chief Financial Officer, a copy of which is has previously been filed on February 26, 2021, as Exhibit 10.1 to the Company’s Annual Report on Form 10-K and will continue as a participant in the Company’s Key Executive Severance Plan, a copy of which has previously been filed on May 10, 2018, as Exhibit 10.2 to the Company’s Quarterly Report on Form 10"
0001193125-23-034646,9,Aidan Viggiano,Chief Financial Officer,CFO,appointment,appointed,There are no other arrangements or understandings between Ms. Viggiano and any other persons pursuant to which Ms. Viggiano was appointed as the Company’s Chief Financial Officer.
0001447669-23-000025,1,Eyal Manor,Chief Product Officer,other_exec,departure,resign,"On February 14, 2023, Eyal Manor informed the Company of his decision to resign as the Company’s Chief Product Officer, effective February 28, 2023."
