final_cik,breach_date,org_name,treated,outcome_cik,last_filing,status,t0_rd,censored_30_rd,days_uncovered_30_rd,censored_90_rd,days_uncovered_90_rd,censored_180_rd,days_uncovered_180_rd,never_covered_rd,t0_bd,censored_30_bd,days_uncovered_30_bd,censored_90_bd,days_uncovered_90_bd,censored_180_bd,days_uncovered_180_bd,never_covered_bd
831259,2023-08-08,Freeport-McMoRan Inc.,0,831259,2026-08-03,ok,2023-09-08,0,0,0,0,0,0,0,2023-08-08,0,0,0,0,0,0,0
858877,2012-03-26,"Cisco Systems, Inc.",0,858877,2026-08-03,ok,2012-04-09,0,0,0,0,0,0,0,2012-03-26,0,0,0,0,0,0,0
858877,2012-04-13,"Cisco Systems, Inc.",0,858877,2026-08-03,ok,2012-04-13,0,0,0,0,0,0,0,2012-04-13,0,0,0,0,0,0,0
860731,2020-09-21,"Tyler Technologies, Inc.",0,860731,2026-07-29,ok,2021-01-18,0,0,0,0,0,0,0,2020-09-21,0,0,0,0,0,0,0
872589,2010-06-18,"Regeneron Pharmaceuticals, Inc.",0,872589,2026-07-30,ok,2010-07-26,0,0,0,0,0,0,0,2010-06-18,0,0,0,0,0,0,0
877890,2013-04-26,Citrix Systems Inc.,0,877890,2022-10-12,ok,2013-06-18,0,0,0,0,0,0,0,2013-04-26,0,0,0,0,0,0,0
877890,2016-11-15,Citrix Systems,0,877890,2022-10-12,ok,2016-12-06,0,0,0,0,0,0,0,2016-11-15,0,0,0,0,0,0,0
877890,2018-10-13,"Citrix Systems, Inc.",0,877890,2022-10-12,ok,2019-04-29,0,0,0,0,0,0,0,2018-10-13,0,0,0,0,0,0,0
892553,2009-07-23,"Chart Industries, Inc.",0,892553,2026-07-31,ok,2009-08-10,0,0,0,0,0,0,0,2009-07-23,0,0,0,0,0,0,0
896878,2008-05-26,"Intuit, Inc.",0,896878,2026-07-31,ok,2008-09-05,0,0,0,0,0,0,0,2008-05-26,0,0,0,0,0,0,0
896878,2008-09-24,Intuit,0,896878,2026-07-31,ok,2008-09-24,0,0,0,0,0,0,0,2008-09-24,0,0,0,0,0,0,0
896878,2014-02-01,"Intuit, Inc.",0,896878,2026-07-31,ok,2015-04-07,0,0,0,0,0,0,0,2014-02-01,0,0,0,0,0,0,0
896878,2014-04-01,Intuit Inc.,0,896878,2026-07-31,ok,2015-02-15,0,0,0,0,0,0,0,2014-04-01,0,0,0,0,0,0,0
896878,2014-04-18,Intuit Inc.,0,896878,2026-07-31,ok,2015-02-15,0,0,0,0,0,0,0,2014-04-18,0,0,0,0,0,0,0
896878,2015-04-07,Intuit,0,896878,2026-07-31,ok,2015-04-07,0,0,0,0,0,0,0,2015-04-07,0,0,0,0,0,0,0
896878,2015-04-14,Intuit,0,896878,2026-07-31,ok,2015-04-14,0,0,0,0,0,0,0,2015-04-14,0,0,0,0,0,0,0
896878,2015-05-20,Intuit,0,896878,2026-07-31,ok,2015-05-20,0,0,0,0,0,0,0,2015-05-20,0,0,0,0,0,0,0
896878,2015-09-18,Intuit Inc,0,896878,2026-07-31,ok,2015-10-27,0,0,0,0,0,0,0,2015-09-18,0,0,0,0,0,0,0
896878,2015-10-12,Intuit Inc,0,896878,2026-07-31,ok,2015-11-17,0,0,0,0,0,0,0,2015-10-12,0,0,0,0,0,0,0
896878,2015-12-01,Intuit,0,896878,2026-07-31,ok,2015-12-23,0,0,0,0,0,0,0,2015-12-01,0,0,0,0,0,0,0
896878,2015-12-07,Intuit Inc.,0,896878,2026-07-31,ok,2015-12-07,0,0,0,0,0,0,0,2015-12-07,0,0,0,0,0,0,0
896878,2015-12-31,"Intuit, Inc.",0,896878,2026-07-31,ok,2016-01-15,0,0,0,0,0,0,0,2015-12-31,0,0,0,0,0,0,0
