cik,breach_date,executive_change_30d,executive_change_90d,executive_change_180d,num_item5_02_filings_180d,days_to_first_item_5_02
896878,2018-05-16,1.0,1.0,1.0,3.0,6.0
896878,2018-06-15,0.0,1.0,1.0,2.0,69.0
896878,2019-02-22,0.0,0.0,0.0,0.0,
896878,2019-01-29,0.0,0.0,0.0,0.0,
896878,2019-01-30,0.0,0.0,0.0,0.0,
896878,2019-02-21,0.0,0.0,0.0,0.0,
896878,2019-03-26,0.0,0.0,0.0,0.0,
896878,2019-04-16,0.0,0.0,0.0,0.0,
896878,2019-04-07,0.0,0.0,0.0,0.0,
896878,2019-09-20,0.0,0.0,0.0,0.0,
896878,2020-03-31,0.0,0.0,0.0,0.0,
896878,2020-04-12,0.0,0.0,0.0,0.0,
896878,2022-02-06,0.0,0.0,1.0,1.0,107.0
896878,2022-04-15,0.0,1.0,1.0,1.0,39.0
896878,2023-01-01,0.0,1.0,1.0,2.0,53.0
896878,2023-06-04,0.0,1.0,1.0,1.0,71.0
896878,2023-12-01,0.0,0.0,1.0,1.0,153.0
896878,2024-01-29,0.0,0.0,1.0,2.0,94.0
896878,2024-03-05,0.0,1.0,1.0,2.0,58.0
896878,2024-12-20,0.0,0.0,1.0,1.0,178.0
896878,2025-01-21,0.0,0.0,1.0,1.0,146.0
79282,2021-05-27,0.0,0.0,0.0,0.0,
728535,2020-08-17,0.0,0.0,1.0,2.0,99.0
728535,2020-08-01,0.0,0.0,1.0,2.0,115.0
1324404,2021-10-16,0.0,0.0,0.0,0.0,
200406,2023-07-25,0.0,1.0,1.0,3.0,90.0
200406,2020-01-01,0.0,0.0,0.0,0.0,
200406,2022-06-01,0.0,0.0,0.0,0.0,
200406,2018-05-21,0.0,1.0,1.0,1.0,32.0
5272,2017-04-06,0.0,1.0,1.0,4.0,39.0
1324404,2025-03-12,0.0,0.0,1.0,2.0,134.0
1324404,2024-03-10,0.0,0.0,1.0,1.0,102.0
1097864,2024-03-20,0.0,1.0,1.0,1.0,63.0
1324404,2015-06-02,1.0,1.0,1.0,2.0,23.0
713676,2023-02-24,0.0,1.0,1.0,2.0,67.0
1336920,2022-09-30,0.0,0.0,1.0,1.0,150.0
920760,2023-07-20,1.0,1.0,1.0,2.0,14.0
927628,2023-05-02,1.0,1.0,1.0,1.0,7.0
713676,2018-07-10,0.0,1.0,1.0,2.0,86.0
1973266,2022-12-14,0.0,0.0,0.0,0.0,
1510295,2018-11-28,0.0,1.0,1.0,1.0,63.0
1324404,2023-11-07,0.0,1.0,1.0,1.0,90.0
1136893,2021-06-01,1.0,1.0,1.0,3.0,8.0
1048286,2020-01-01,0.0,0.0,1.0,1.0,131.0
62709,2013-06-01,0.0,0.0,0.0,0.0,
63908,2025-05-29,0.0,0.0,0.0,0.0,
5272,2023-06-12,1.0,1.0,1.0,3.0,11.0
200406,2020-11-07,1.0,1.0,1.0,1.0,26.0
1034054,2022-07-18,0.0,0.0,0.0,0.0,
1034054,2019-04-01,0.0,0.0,0.0,0.0,
1932393,2021-10-01,0.0,0.0,0.0,0.0,
1136893,2011-03-22,0.0,0.0,0.0,0.0,
1136893,2010-09-16,0.0,0.0,1.0,1.0,151.0
789570,2023-09-08,0.0,0.0,0.0,0.0,
789570,2019-07-07,0.0,0.0,0.0,0.0,
